EER90453	GO:0005739	GO:0098542	GO:0046658	GO:0009506	GO:0003674																																															
EER93047	GO:0005096	GO:0005739	GO:0090630																																																	
OQU90570	GO:0005739	GO:0042626	GO:0140359	GO:0000302	GO:0005886	GO:0042908																																														
EER90454	GO:0009407	GO:0006749	GO:0004364	GO:0005737	GO:0009536	GO:0005777																																														
EER93049	GO:0003674	GO:1901701	GO:0005737	GO:0009536	GO:0009941																																															
EER93051	GO:0005739	GO:0009451	GO:0003723	GO:0043231	GO:0008270																																															
EER90457	GO:0003674	GO:0009507	GO:0009416																																																	
OQU90580	GO:0003674	GO:0005634	GO:0005886	GO:0040007	GO:0010629	GO:0008104	GO:0010243	GO:0048507																																												
KXG37070	GO:0006974	GO:0009909	GO:0071217	GO:0009944	GO:1902066	GO:2000024	GO:0010044	GO:0009793	GO:0048359	GO:0005515	GO:0009620	GO:0005634	GO:0006979	GO:0009733	GO:0045893	GO:0048358	GO:0045892	GO:0009617	GO:0047484	GO:0001666	GO:0009414	GO:0006355	GO:0010272	GO:0080001	GO:0045995	GO:1901001	GO:0046898	GO:0009908	GO:0009827	GO:0010192	GO:1902183	GO:0003714	GO:0010393	GO:1902074	GO:0009624	GO:0009611	GO:0003713	GO:0010073														
EER91996	GO:0015693	GO:1903830	GO:0015095	GO:0005739																																																
EER94559	GO:0044248	GO:1901575	GO:0009507	GO:0017018	GO:0005515																																															
EER94560	GO:0009535	GO:0005515	GO:0031351	GO:0009416	GO:0009507																																															
EER91998	GO:0055085	GO:0005575	GO:0022857																																																	
OQU92205	GO:0003674	GO:0008150	GO:0005634																																																	
OQU92207	GO:0005737	GO:0009409	GO:0016621	GO:0009809	GO:0016616	GO:0007623																																														
OQU92208	GO:0005737	GO:0043295	GO:0004364	GO:0009407	GO:0006979	GO:0006749																																														
KXG38989	GO:0006952	GO:0006749	GO:0009570	GO:0010319	GO:0005737	GO:0009407	GO:0043295	GO:0071456	GO:0009579	GO:0000325	GO:0009941	GO:0009507	GO:0009409	GO:0005829	GO:0005634	GO:0004364	GO:1901149																																			
OQU92210	GO:0009058	GO:0009611	GO:0009753	GO:0005829	GO:0009507																																															
EER92001	GO:0005575	GO:0003674	GO:0009737	GO:0071310																																																
EER94565	GO:0050832	GO:0005886	GO:0004674	GO:0009506	GO:0006468	GO:0004672	GO:0009742	GO:0005515	GO:0042742	GO:0000325																																										
EER94566	GO:0016301	GO:0042742	GO:0009555	GO:0006468	GO:0005886	GO:0002229	GO:0004675	GO:0005576	GO:0005829																																											
KXG38992	GO:0009506	GO:0009826	GO:0005576	GO:0009828	GO:0009505																																															
EER92003	GO:0031593	GO:0005515	GO:0005739	GO:0006511	GO:0005829	GO:0005634																																														
EER94573	GO:0008270	GO:0006829	GO:0016020	GO:0005634	GO:0005737																																															
KXG38995	GO:0006506	GO:0005739																																																		
EER94575	GO:0048316	GO:0010243	GO:0098542	GO:0040007	GO:0005576																																															
OQU92218	GO:0005739	GO:0005576	GO:0004185	GO:0009611	GO:0050832	GO:0048588	GO:0009617	GO:0000325	GO:0006629																																											
OQU92223	GO:0009507	GO:0017018	GO:0006470	GO:0009651	GO:0009737	GO:0009414	GO:0005634	GO:0005737																																												
EER92006	GO:0010183	GO:0005634	GO:0005886	GO:0043621	GO:0072659	GO:0005515	GO:0006952																																													
KXG39008	GO:0009451	GO:0043231	GO:0003723	GO:0005739																																																
EER94578	GO:0010228	GO:0000325	GO:0009416	GO:0005886	GO:0048523	GO:0050793	GO:0005794	GO:0009793	GO:0022857	GO:0055085	GO:0040029	GO:0010035	GO:0009908	GO:0005337																																						
EER94579	GO:0006970	GO:0009787	GO:0009903	GO:0003674	GO:0009507	GO:0009637	GO:0009902	GO:0010029	GO:0031022	GO:0030048	GO:0005634	GO:0005829	GO:1902265	GO:0005622	GO:0005886																																					
EER94580	GO:0018105	GO:0005886	GO:0009931	GO:0005516	GO:0005509	GO:0046777	GO:0016020	GO:0004683	GO:0005634	GO:0005829	GO:0035556	GO:0005737																																								
EER95622	GO:0005634	GO:0016571	GO:0018193	GO:0006281	GO:0046982	GO:0000325	GO:0009507	GO:0005576	GO:0005886	GO:0009506																																										
OQU92227	GO:0005794	GO:0045492	GO:0005975	GO:0016407	GO:0005796	GO:1990538																																														
KXG39009	GO:0005634	GO:0003723	GO:0004386	GO:0008150																																																
EER94581	GO:0046786	GO:0005739	GO:0009705																																																	
KXG39011	GO:0005576	GO:0008150	GO:0003674																																																	
EER92015	GO:0005634	GO:0009908	GO:1901371	GO:0048366	GO:0003700																																															
EER94583	GO:0006979	GO:0042538	GO:0004601	GO:0005783	GO:0009269	GO:0005576	GO:0020037	GO:0009505	GO:0009409	GO:0006950																																										
EER94584	GO:0009505	GO:0005576	GO:0004601	GO:0005739	GO:0006979	GO:0009506	GO:0020037	GO:0006950																																												
KXG39014	GO:0009535	GO:0030093	GO:0009515	GO:0009534	GO:0009579	GO:0042644	GO:0009507	GO:0005829	GO:0009941	GO:0090391	GO:0009773	GO:0003677	GO:0097753	GO:0005515																																						
EER94585	GO:0042742	GO:0071456	GO:0002229	GO:0009617	GO:0009620	GO:0005737	GO:0002239	GO:0033759	GO:0009813	GO:0046244	GO:0010150	GO:0051213	GO:0009751	GO:0034785																																						
KXG39017	GO:0045893	GO:0009908	GO:0005515	GO:0006357	GO:0000981	GO:0009911	GO:0009409	GO:0045944	GO:0000978	GO:0046983	GO:0005634	GO:0005737	GO:0010077	GO:0003700	GO:0009739																																					
EER92016	GO:0019900	GO:0009793	GO:0019789	GO:0016925	GO:0005515	GO:0005829	GO:0061656	GO:0005634	GO:0009737	GO:0032183																																										
EER94586	GO:0048767	GO:0009828	GO:0009826	GO:0005576	GO:0009664																																															
OQU92233	GO:0042742	GO:0005886	GO:0002376	GO:0007165	GO:0031347	GO:0006979	GO:0010200	GO:0009620																																												
EER92017	GO:0031347	GO:0050832	GO:0005739	GO:0003674	GO:0042742	GO:0071446	GO:0048827	GO:0007165	GO:0010035	GO:0010200																																										
OQU92237	GO:0005515	GO:0006357	GO:0000981	GO:0009506	GO:0005634	GO:0005829	GO:0048481	GO:0000978	GO:0003700																																											
EER92019	GO:0005794	GO:0008375	GO:0019760	GO:0016757	GO:0032787	GO:0009414	GO:0051301	GO:0009812																																												
OQU92244	GO:0008150	GO:0005634	GO:0003723																																																	
KXG39020	GO:0009507	GO:0009570	GO:0022627	GO:0003729	GO:0000312	GO:0006412	GO:0003735	GO:0009536																																												
OQU92247	GO:0005576	GO:0008150	GO:0003674	GO:0005739																																																
EER94588	GO:0016579	GO:0101005	GO:0070646	GO:0005737																																																
KXG39021	GO:0042742	GO:0004675	GO:0002229	GO:0006468	GO:0005576	GO:0016301	GO:0005886																																													
EER94589	GO:0005515	GO:0006468	GO:0005737	GO:0007112	GO:0009862	GO:0009651	GO:0016310	GO:0009868	GO:0004672	GO:0004674	GO:0009620	GO:0043622	GO:0009861	GO:0005634	GO:0006972	GO:0071244	GO:0090333	GO:0035556	GO:0004707	GO:0000911	GO:0042539	GO:0009504	GO:0007165	GO:0016301	GO:0009409	GO:0010119	GO:0009737	GO:0009555																								
EER94590	GO:0009507	GO:0062034	GO:0009536	GO:0009627	GO:1901672	GO:0005737	GO:0062046																																													
OQU92249	GO:0006468	GO:0005886	GO:0046777	GO:0009507	GO:0004674																																															
KXG39024	GO:0009507	GO:0009535	GO:0003674																																																	
OQU92250	GO:0034063	GO:0010091	GO:0019900	GO:0042803	GO:0005802	GO:0042814	GO:0042802	GO:0003714	GO:0048530	GO:0009651	GO:0048444	GO:0006970	GO:2000039	GO:0009965	GO:0051287	GO:0043621	GO:0007097	GO:0005515	GO:0016616	GO:0045604	GO:0005829	GO:0010494	GO:0031129	GO:0000226	GO:0009507	GO:0010482	GO:0008360																									
EER94592	GO:0005515	GO:0005634	GO:0007049																																																	
OQU92251	GO:0071369	GO:1901575	GO:0005634	GO:0044248	GO:0046872	GO:0019752	GO:0009507																																													
OQU92253	GO:0003674	GO:0005737	GO:0008150																																																	
EER94594	GO:0005739	GO:0046592	GO:0006598	GO:0016491																																																
EER94595	GO:0000976	GO:0043565	GO:0048759	GO:0006355	GO:0005634	GO:0003700	GO:1901348	GO:0003677	GO:1990110	GO:0005515																																										
OQU92255	GO:0043565	GO:0090567	GO:0005829	GO:0003700	GO:0000976	GO:0042803	GO:0005634	GO:0006355	GO:0005737																																											
EER94596	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94597	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94598	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER92030	GO:0009407	GO:0005737	GO:0004364	GO:0006749																																																
EER94599	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94600	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
OQU92256	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94604	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94605	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94606	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94607	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
OQU92259	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER92032	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
OQU92261	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94613	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER94614	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94615	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
KXG39035	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94618	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER94619	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
OQU92262	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER92034	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER92035	GO:0080148	GO:0009651	GO:0004364	GO:0005737	GO:0009407	GO:0048527	GO:0060416	GO:0006749	GO:0009507	GO:0009704																																										
EER92036	GO:0006749	GO:0009407	GO:0005737	GO:0004364																																																
EER92037	GO:0020037	GO:0016705	GO:0005783	GO:0005506																																																
OQU92269	GO:0020037	GO:0016705	GO:0005783	GO:0005506																																																
EER92040	GO:0009897	GO:0010103	GO:0005576	GO:0004252	GO:0042127																																															
EER92041	GO:0005546	GO:0005515	GO:0009395	GO:0004630	GO:0042742	GO:0005634	GO:0009506	GO:0070290	GO:0005886																																											
EER94621	GO:0050660	GO:1905392	GO:0005576	GO:0016614																																																
EER94622	GO:0009414	GO:0005576	GO:0042742	GO:0046394	GO:0009620	GO:1901657	GO:0009416	GO:0006970	GO:0003674	GO:0009737	GO:0019748																																									
OQU92273	GO:0006571	GO:0009094	GO:0047769	GO:0005737	GO:0009507	GO:0010244	GO:0005829	GO:0004664																																												
OQU92275	GO:0002376	GO:0019752	GO:0016020	GO:0032870	GO:0009751	GO:0042742	GO:1990961	GO:0050832	GO:0015297	GO:0031347	GO:0022857	GO:1901698	GO:0042910	GO:0005886	GO:0019748																																					
EER94626	GO:0008150	GO:0003674	GO:0005737																																																	
EER94627	GO:0009738	GO:0009737																																																		
KXG39046	GO:0003674	GO:0009507																																																		
EER94629	GO:0005634	GO:0016567	GO:0005515	GO:0030246	GO:0009611																																															
EER94630	GO:0005794	GO:0045893	GO:0004252	GO:0044085	GO:0009506																																															
EER92044	GO:0005737	GO:0009741	GO:0004674	GO:0007165	GO:0046777	GO:0016301	GO:0005634																																													
EER92045	GO:0004842	GO:0005737	GO:0016567																																																	
EER94631	GO:0008150	GO:0003674	GO:0005575																																																	
EER94632	GO:0008150	GO:0003674	GO:0005575																																																	
EER94633	GO:0005743	GO:0031305	GO:0033617	GO:0032977	GO:0015450	GO:0045039	GO:0065003	GO:0032979	GO:0005739	GO:0051205																																										
EER92046	GO:0030042	GO:0005737	GO:0051015	GO:0015629																																																
OQU92283	GO:0005993	GO:0004555	GO:0005886																																																	
EER92048	GO:0005739	GO:0006412	GO:0003674																																																	
EER92049	GO:0005737	GO:0009536	GO:0006749	GO:0006751	GO:0005829	GO:0009506	GO:0017168																																													
OQU92286	GO:0006109	GO:0009745	GO:0005634																																																	
EER92050	GO:0009507	GO:0008150	GO:0003674																																																	
EER92051	GO:0005783	GO:0005737	GO:0009941	GO:0030674	GO:0030433	GO:0005811	GO:0043130	GO:0005886	GO:0005515	GO:1905691																																										
KXG39054	GO:0005737	GO:0016579	GO:0070646	GO:0101005																																																
EER92053	GO:1903046	GO:0048532	GO:0005634	GO:0048523	GO:0003674	GO:0009888	GO:0009892	GO:0051301																																												
EER94636	GO:0015575	GO:0010311	GO:0005365	GO:0009507	GO:0015144	GO:0005355	GO:0015591	GO:0005351	GO:0015168	GO:0015148	GO:0005354	GO:0015576	GO:0015145	GO:0005886																																						
OQU92290	GO:0010015	GO:0003674	GO:0005634	GO:0042180	GO:0048589	GO:0009416	GO:0009888	GO:0044283																																												
OQU92294	GO:0043086	GO:0004857	GO:0005739																																																	
EER94639	GO:0003674	GO:0008150	GO:0005634																																																	
OQU92296	GO:0010150	GO:0016682	GO:0005737																																																	
OQU92298	GO:0003674	GO:0008150	GO:0005575																																																	
OQU92300	GO:0006302	GO:0010225	GO:0004797	GO:0042802	GO:0046104	GO:0005737																																														
EER92056	GO:0010030	GO:0009505	GO:0034605	GO:0005576																																																
OQU92301	GO:0010030	GO:0009505	GO:0034605	GO:0005576																																																
EER92060	GO:0009888	GO:0031965	GO:0005637	GO:0005739	GO:0005515																																															
EER92063	GO:0045892	GO:0005634	GO:0003674																																																	
OQU92303	GO:0042554	GO:0016491	GO:0046110	GO:0006145	GO:0005506	GO:0004854	GO:0005886	GO:0009414	GO:0071949	GO:0000302																																										
OQU92304	GO:0042631	GO:0080024	GO:0070301	GO:0071475	GO:0010016	GO:0071215	GO:0080043	GO:0052638	GO:0035251	GO:0080044	GO:0009507	GO:0016757																																								
OQU92305	GO:0045893	GO:0009753	GO:0005634																																																	
EER92066	GO:0035251	GO:0018874	GO:0005829	GO:0052641	GO:0052640	GO:0080002	GO:0046482	GO:0090704	GO:0009696	GO:0016757	GO:0080044	GO:0010030	GO:0052639	GO:0080043																																						
EER94644	GO:0005737	GO:0006526	GO:0004042	GO:0010035	GO:0006464	GO:0103045																																														
KXG39070	GO:0009409	GO:0005634	GO:0006970	GO:0003674																																																
OQU92307	GO:0005737	GO:0003674	GO:0009793	GO:0005634																																																
OQU92311	GO:0009793	GO:0009507	GO:0042793	GO:0009658	GO:0005515																																															
EER92071	GO:0009753	GO:0016020	GO:0009611	GO:0020037	GO:0009888	GO:0016709	GO:0006520	GO:0009507	GO:0005506																																											
OQU92312	GO:0003674	GO:0008150	GO:0005634																																																	
KXG39074	GO:0003674	GO:0008150	GO:0005634																																																	
EER92074	GO:0009507	GO:0009737	GO:0009414	GO:0032787	GO:0032870	GO:0009570	GO:0050242	GO:0006090	GO:0048364	GO:0005829	GO:1901701	GO:0044255	GO:0009416	GO:0019748	GO:0007165																																					
OQU92315	GO:0003674	GO:0008150	GO:0005634																																																	
KXG39079	GO:0003674	GO:0008150	GO:0005634																																																	
OQU92318	GO:0008168	GO:0044255	GO:0005737	GO:0016491	GO:0008610	GO:0009416																																														
OQU92319	GO:0016036	GO:0044205	GO:0006207	GO:0004590	GO:0009220	GO:0019856	GO:0006222	GO:0004588	GO:0005737																																											
EER94649	GO:0080147	GO:0005802	GO:0005768	GO:0005794	GO:0005797																																															
KXG39085	GO:0055085	GO:0009507	GO:0009657	GO:0005886	GO:0009526	GO:0010020	GO:0005216																																													
EER94653	GO:0003700	GO:0009956	GO:0005515	GO:0048366	GO:0045930	GO:0043565	GO:0008356	GO:0005634	GO:0006355	GO:0055072	GO:0009959	GO:0009660	GO:0032350	GO:0000976																																						
OQU92329	GO:0071215	GO:0043436	GO:0009755	GO:0006790	GO:0009058	GO:0005737	GO:0016853	GO:0005634																																												
EER94654	GO:0009809	GO:1901430	GO:0009505	GO:0005576	GO:0020037	GO:0005794	GO:0006979	GO:0010089	GO:0005515	GO:0048046																																										
EER92080	GO:0009651	GO:0005737	GO:0005634																																																	
EER92081	GO:0060776	GO:0010468	GO:0000976	GO:0005739	GO:0006807																																															
OQU92338	GO:0005669	GO:0005634	GO:0046982	GO:0016251	GO:0006352	GO:0006367	GO:0003677																																													
EER94660	GO:0007165																																																			
EER92083	GO:0007264	GO:0015031	GO:0016192	GO:0005737	GO:0048046	GO:0005093																																														
EER94661	GO:0003674	GO:0008150	GO:0005575																																																	
EER92084	GO:1990641	GO:0003674	GO:0009507																																																	
EER92085	GO:0005886	GO:0009695	GO:0009507	GO:0046423	GO:0009620	GO:0000325																																														
EER92086	GO:0005737	GO:0005515	GO:0009640	GO:0080167	GO:0005829	GO:0009704																																														
EER92087	GO:0000976	GO:0005634	GO:0003700	GO:0006979	GO:0009414	GO:0045892	GO:0009737	GO:0009651	GO:0043565	GO:0035264	GO:0009409	GO:0010117	GO:0010200	GO:0009611	GO:0009644	GO:0071456	GO:0015979																																			
EER92088	GO:0003700	GO:0071456	GO:0055062	GO:0000976	GO:2000280	GO:0005634	GO:0000978																																													
EER94663	GO:0005634	GO:0008150	GO:0005576	GO:0003674																																																
EER92089	GO:0003700	GO:0071456	GO:0055062	GO:0000976	GO:2000280	GO:0005634	GO:0000978																																													
EER94664	GO:0005515	GO:0009611	GO:0042802	GO:0045851	GO:0004674	GO:0031347	GO:0009826	GO:0005886	GO:0001653	GO:0006468	GO:0004888																																									
OQU92343	GO:0005829	GO:0008202	GO:0009611	GO:0035671	GO:0046983	GO:0010051	GO:0047787																																													
EER95030	GO:0005829	GO:0008202	GO:0009611	GO:0035671	GO:0046983	GO:0010051	GO:0047787																																													
OQU92347	GO:0010200	GO:0005739	GO:0051321	GO:0003674	GO:0006996																																															
EER94671	GO:0009733	GO:0010279	GO:0016881	GO:0010252	GO:0005737	GO:0005634																																														
OQU92348	GO:0009651	GO:0009414	GO:0016887	GO:0009737	GO:0005634	GO:0010154	GO:0010431	GO:0009409	GO:0005739	GO:0005783																																										
EER92097	GO:0044281	GO:0050793	GO:0003674	GO:0005575																																																
KXG39102	GO:0005886	GO:0009642	GO:0006970	GO:0009416	GO:0006996	GO:0005634	GO:0005515	GO:0009639	GO:0061630	GO:1901575	GO:0005737																																									
EER92100	GO:0051607	GO:0009616	GO:0035195	GO:0005737	GO:0010599	GO:0003723	GO:0035194	GO:0010267	GO:0040034	GO:0010050																																										
EER92101	GO:0005634	GO:0004860	GO:0006469	GO:0005730	GO:0019901	GO:0003725																																														
EER94674	GO:0004197	GO:0010150	GO:0009733	GO:0007568	GO:0009723	GO:0009735	GO:0080187	GO:0010282	GO:0008234	GO:0010224	GO:0005764	GO:0051603	GO:0009749	GO:0009507	GO:0009744	GO:0005615	GO:0009750																																			
OQU92357	GO:0005634	GO:0003674	GO:0007165	GO:0012505																																																
EER92103	GO:0007165	GO:0048364	GO:0032870	GO:0044248	GO:0008610	GO:0044255	GO:0030154	GO:0048589	GO:0006952	GO:0005575	GO:0009888	GO:0003674																																								
EER94675	GO:0000976	GO:0006355	GO:0043565	GO:0009723	GO:0009753	GO:1900150	GO:0005634	GO:1900425	GO:0003700	GO:0009751	GO:0009651	GO:0003677																																								
OQU92361	GO:0005575	GO:0008150	GO:0003674	GO:0005739																																																
OQU92371	GO:0048544	GO:0004674	GO:0006468	GO:0005886	GO:0005516	GO:0005576																																														
OQU92373	GO:0043489	GO:0032544	GO:0006412	GO:0003729																																																
EER94677	GO:0034450	GO:0005634	GO:0005737	GO:0016567	GO:0006511	GO:0031348	GO:0000151	GO:0030433	GO:0061630	GO:0000209																																										
EER92108	GO:0004842	GO:0005634	GO:0016567																																																	
EER92109	GO:0003674	GO:0005739	GO:0008150																																																	
EER92110	GO:0005576	GO:0003674	GO:0008150	GO:0005615																																																
EER94678	GO:0005737	GO:0009507	GO:0034605	GO:0009408	GO:0009536	GO:0009570	GO:0009658	GO:0016887	GO:0042026	GO:0009532																																										
EER94679	GO:1901701	GO:0005886	GO:0003674	GO:0006811																																																
OQU92376	GO:0005634	GO:0000976	GO:0006355	GO:0003700																																																
OQU92377	GO:0005634	GO:0032870	GO:0033993	GO:1901701	GO:0003674	GO:0009755	GO:0000118																																													
EER94680	GO:0003951	GO:0009737	GO:0004143	GO:0007205	GO:0009651	GO:0050832	GO:0048507	GO:0005737	GO:1901701	GO:0005509	GO:0009414	GO:0007165																																								
EER92112	GO:0000162	GO:0003949	GO:0000105	GO:0005737	GO:0009507																																															
EER94681	GO:0009507	GO:0005886	GO:0022857																																																	
KXG39114	GO:0022626	GO:0022627	GO:0000028	GO:0006412	GO:0009506	GO:0005829	GO:0005634	GO:0003735	GO:0003729	GO:0009505	GO:0003723																																									
OQU92380	GO:0042742	GO:0010228	GO:0005634	GO:0006468	GO:0005829	GO:0031324	GO:1901701	GO:0007165	GO:0009620	GO:0004842	GO:0009908	GO:0014070	GO:0016567																																							
OQU92381	GO:0009960	GO:0009507	GO:0006636	GO:0045300	GO:2000014	GO:0006631	GO:0102786	GO:0055089																																												
EER94682	GO:0005515	GO:0005634	GO:0008150																																																	
KXG39119	GO:0005576	GO:0007166	GO:0005886	GO:0016301	GO:0030247	GO:0006468	GO:0005509																																													
EER92116	GO:0005886	GO:0031225	GO:0009408	GO:0001872	GO:0046658	GO:0030247	GO:0009506																																													
EER92117	GO:0005783	GO:0005789	GO:0015485	GO:0009506	GO:0005739	GO:0032933	GO:0005634	GO:0005794	GO:0007165	GO:0031625	GO:0000325	GO:0005730																																								
EER92119	GO:0009793	GO:0006270	GO:0005515	GO:0005730	GO:0005654	GO:0044085	GO:0005634	GO:0003682																																												
KXG39123	GO:0009737	GO:0009611	GO:0005634	GO:0009416	GO:0045892	GO:0009651	GO:0050832	GO:0009414	GO:0009753	GO:0005515	GO:0009409	GO:0009738	GO:0007165																																							
EER94684	GO:0003729	GO:0005737	GO:0005515	GO:1990904	GO:0009536	GO:0005634	GO:0005829																																													
KXG39124	GO:0003729	GO:0005737	GO:0005515	GO:1990904	GO:0009536	GO:0005634	GO:0005829																																													
KXG39127	GO:0051513	GO:0009826	GO:0005634	GO:0003674	GO:0009506																																															
EER92121	GO:0009860	GO:0012505	GO:0005794	GO:0000938	GO:0032456	GO:0042147	GO:0019905	GO:0000139	GO:0019953	GO:0005515	GO:0006896																																									
KXG39652	GO:0010005	GO:0043622	GO:0005886	GO:0003674																																																
KXG39130	GO:0008284	GO:0016705	GO:0048437	GO:0010338	GO:0020037	GO:0005506	GO:0035265	GO:0010075	GO:0009507	GO:0046622	GO:0005783	GO:0040009																																								
EER92124	GO:0009051	GO:0005829	GO:0017057	GO:0009507	GO:0005737	GO:0010243	GO:0005975	GO:0009416																																												
OQU92393	GO:0052324	GO:0005886	GO:0046658	GO:0009793	GO:0031225	GO:0010215																																														
EER94687	GO:0052324	GO:0005886	GO:0046658	GO:0031225	GO:0000325	GO:0010215	GO:0009834																																													
KXG39138	GO:0008320	GO:0031305	GO:0005744	GO:0005739	GO:0030150																																															
EER92127	GO:0008320	GO:0031305	GO:0005744	GO:0005739	GO:0030150																																															
EER92128	GO:0008081	GO:0006629	GO:0031012	GO:0012501	GO:0005576	GO:0010046																																														
OQU92397	GO:0047134	GO:0005783	GO:0015979	GO:0009507	GO:0005576																																															
EER94691	GO:0003674	GO:0010035	GO:0009507																																																	
EER92132	GO:0010442	GO:0052546	GO:0016757	GO:0010246	GO:0048358	GO:0047262	GO:0005794	GO:0010192	GO:0080001	GO:0000137	GO:0005739																																									
KXG39146	GO:0005515	GO:0006521	GO:0005829	GO:0009506	GO:0009507	GO:0009735																																														
OQU92400	GO:0071456	GO:0010468	GO:0006355	GO:0005634																																																
EER94693	GO:0009414	GO:0005515	GO:0045893	GO:0009408	GO:0046982	GO:0005634	GO:0003700	GO:0000978	GO:0006357	GO:0005829	GO:0000981	GO:0001228	GO:0016602																																							
EER92134	GO:0005506	GO:0010286	GO:0016705	GO:0005576	GO:0020037	GO:0009507																																														
OQU92401	GO:0016102	GO:0080027	GO:0051762	GO:0000287	GO:0009507	GO:0016106	GO:0080017	GO:0080016																																												
KXG39150	GO:0006006	GO:0009051	GO:0050661	GO:0004345	GO:0009570	GO:0009507																																														
EER94697	GO:0005634	GO:0003674	GO:0008150																																																	
KXG39153	GO:0005634	GO:0071577	GO:0009507	GO:0016020	GO:0046873	GO:0005385																																														
EER94698	GO:0005575	GO:0003674	GO:0040007	GO:0009834																																																
OQU92404	GO:0048316	GO:0005634	GO:0005829	GO:0005509																																																
OQU92405	GO:0033523	GO:0010228	GO:0010390	GO:0010162	GO:0009965	GO:0005634	GO:0033503	GO:0061630	GO:0071894	GO:0045087	GO:0042803																																									
EER94699	GO:0005515	GO:0005634	GO:0006357	GO:0000978	GO:0000981	GO:0016602	GO:0003700																																													
KXG39676	GO:0010150	GO:0016682	GO:0005737																																																	
EER94701	GO:0071013	GO:0009057	GO:0005686	GO:0071004	GO:0097526	GO:0003723	GO:0005685	GO:0005634	GO:0044248	GO:1901565	GO:0005730	GO:0030154	GO:0005687	GO:0000398	GO:0043186	GO:0005689	GO:0071011	GO:0007049	GO:0005829	GO:0034719	GO:0005682	GO:1990904																														
EER92141	GO:0009507	GO:0009535	GO:0008150	GO:0003674																																																
EER92142	GO:0042803	GO:0005634	GO:0042753	GO:0009649	GO:0009648																																															
EER92143	GO:0060321	GO:0009860	GO:0006893	GO:0009846	GO:0090522	GO:0006887	GO:0006886	GO:0005634	GO:0000145	GO:0005829																																										
EER92144	GO:0000976	GO:0005634	GO:0005515	GO:0009800	GO:0003700	GO:0009611	GO:0009892																																													
EER92145	GO:0009705	GO:0009556	GO:0035265	GO:0009554	GO:0048364	GO:0001934	GO:0008283	GO:0009553	GO:0009793	GO:0005737	GO:0010449	GO:0080141	GO:0009734	GO:0051301	GO:0005515	GO:0005886	GO:0005802	GO:0005634	GO:0005769	GO:0009507	GO:0048229	GO:0030295	GO:0007165																													
KXG39168	GO:0009705	GO:0009556	GO:0035265	GO:0009554	GO:0048364	GO:0001934	GO:0008283	GO:0009553	GO:0009793	GO:0005737	GO:0010449	GO:0080141	GO:0009734	GO:0051301	GO:0005515	GO:0005886	GO:0005802	GO:0005634	GO:0005769	GO:0009507	GO:0048229	GO:0030295	GO:0007165																													
EER92147	GO:0009507	GO:0120194	GO:0005515	GO:2000295	GO:0009570	GO:1903123																																														
OQU92409	GO:0003700	GO:0006355	GO:0005634	GO:0043565																																																
EER94702	GO:0005634	GO:0043966	GO:0000124	GO:0051123	GO:0005515	GO:0005669	GO:0003713	GO:0016251	GO:0046982																																											
EER92149	GO:0004674	GO:0042742	GO:0006468	GO:0005739	GO:0005515	GO:0005886																																														
EER92150	GO:0005886	GO:0005576	GO:0009737	GO:0005634																																																
